"","long","lat","disease"
"976","144.1175","-38.37203","P"
"977","144.1173","-38.37212","P"
"978","144.1172","-38.37217","P"
"979","144.1169","-38.37217","P"
"980","144.1168","-38.37223","P"
"981","144.1168","-38.37226","P"
"982","144.1166","-38.37212","P"
"983","144.1165","-38.37201","P"
"984","144.1167","-38.37195","P"
"985","144.1168","-38.37192","P"
"986","144.1169","-38.37195","P"
"987","144.1169","-38.37181","P"
"988","144.1169","-38.37178","P"
"989","144.1168","-38.37167","P"
"990","144.1168","-38.37165","P"
"991","144.1181","-38.37065","P"
"992","144.1181","-38.37065","P"
"993","144.1182","-38.37034","P"
"994","144.1183","-38.37015","P"
"995","144.1183","-38.36990","P"
"996","144.1181","-38.36984","P"
"997","144.1179","-38.36981","P"
"998","144.1176","-38.36976","P"
"999","144.1174","-38.36970","P"
"1000","144.1173","-38.36967","P"
"1001","144.1173","-38.36990","P"
"1002","144.1173","-38.36995","P"
"1003","144.1172","-38.37020","P"
"1004","144.1171","-38.37045","P"
"1005","144.1172","-38.37048","P"
"1006","144.1176","-38.37056","P"
"1007","144.1178","-38.37062","P"
"1008","144.1181","-38.37067","P"
"1009","144.1109","-38.37712","P"
"1010","144.1110","-38.37690","P"
"1011","144.1111","-38.37684","P"
"1012","144.1113","-38.37656","P"
"1013","144.1113","-38.37645","P"
"1014","144.1117","-38.37609","P"
"1015","144.1121","-38.37581","P"
"1016","144.1126","-38.37517","P"
"1017","144.1127","-38.37498","P"
"1018","144.1127","-38.37451","P"
"1019","144.1128","-38.37409","P"
"1020","144.1131","-38.37337","P"
"1021","144.1132","-38.37259","P"
"1022","144.1134","-38.37220","P"
"1023","144.1134","-38.37206","P"
"1024","144.1134","-38.37165","P"
"1025","144.1135","-38.37145","P"
"1026","144.1135","-38.37115","P"
"1027","144.1137","-38.37073","P"
"1028","144.1137","-38.37059","P"
"1029","144.1109","-38.37712","P"
"1030","144.1110","-38.37695","P"
"1031","144.1113","-38.37653","P"
"1032","144.1120","-38.37598","P"
"1033","144.1124","-38.37528","P"
"1034","144.1129","-38.37490","P"
"1035","144.1130","-38.37487","P"
"1036","144.1136","-38.37465","P"
"1037","144.1144","-38.37434","P"
"1038","144.1151","-38.37423","P"
"1039","144.1160","-38.37401","P"
"1040","144.1167","-38.37387","P"
"1041","144.1177","-38.37370","P"
"1042","144.1183","-38.37362","P"
"1043","144.1184","-38.37356","P"
"1044","144.1189","-38.37345","P"
"1045","144.1196","-38.37340","P"
"1046","144.1206","-38.37331","P"
"1047","144.1211","-38.37303","P"
"1048","144.1216","-38.37248","P"
"1049","144.1221","-38.37198","P"
"1050","144.1225","-38.37151","P"
"1051","144.1230","-38.37101","P"
"1052","144.1234","-38.37056","P"
"1053","144.1236","-38.37012","P"
"1054","144.1235","-38.37003","P"
"1055","144.1238","-38.37037","P"
"1056","144.1241","-38.37023","P"
"1057","144.1240","-38.37026","P"
"1058","144.1236","-38.37042","P"
"1059","144.1235","-38.37051","P"
"151","144.1245","-38.39966","A"
"210","144.1248","-38.39957","A"
"310","144.1251","-38.39930","N"
"410","144.1252","-38.39909","N"
"510","144.1259","-38.39895","N"
"610","144.1262","-38.39874","N"
"710","144.1269","-38.39870","A"
"8100","144.1266","-38.39834","A"
"9100","144.1265","-38.39818","P"
"1060","144.1262","-38.39791","P"
"1110","144.1254","-38.39801","A"
"1210","144.1249","-38.39798","P"
"1310","144.1248","-38.39822","A"
"1410","144.1247","-38.39844","A"
"152","144.1243","-38.39853","A"
"161","144.1240","-38.39883","A"
"171","144.1239","-38.39899","A"
"181","144.1236","-38.39907","A"
"191","144.1236","-38.39920","A"
"201","144.1233","-38.39916","A"
"211","144.1231","-38.39919","A"
"221","144.1229","-38.39940","A"
"231","144.1225","-38.39967","A"
"241","144.1272","-38.40299","N"
"251","144.1270","-38.40803","A"
"261","144.1284","-38.40763","N"
"271","144.1278","-38.40764","A"
"281","144.1274","-38.40801","A"
"291","144.1274","-38.40809","A"
"301","144.1233","-38.39875","P"
"311","144.1230","-38.39866","P"
"321","144.1229","-38.39850","N"
"331","144.1227","-38.39840","A"
"341","144.1224","-38.39835","A"
"351","144.1222","-38.39827","A"
"361","144.1220","-38.39816","A"
"371","144.1219","-38.39798","A"
"381","144.1217","-38.39792","A"
"391","144.1214","-38.39788","N"
"401","144.1209","-38.39786","A"
"411","144.1211","-38.39802","P"
"421","144.1214","-38.39815","P"
"431","144.1217","-38.39839","P"
"441","144.1220","-38.39861","P"
"451","144.1222","-38.39876","P"
"461","144.1222","-38.39895","P"
"471","144.1225","-38.39904","P"
"481","144.1228","-38.39933","P"
"491","144.1228","-38.39926","P"
"501","144.1264","-38.40838","P"
"511","144.1268","-38.40822","P"
"521","144.1268","-38.40843","P"
"531","144.1268","-38.40862","P"
"541","144.1270","-38.40877","P"
